2025-08-22 22:12:02,771 - INFO - Coordinates cache database initialized
2025-08-22 22:12:10,193 - WARNING - Could not geocode Taku-Campbell, Anchorage Borough, AK
2025-08-22 22:12:10,395 - WARNING - Could not geocode Russian Jack Park, Anchorage Borough, AK
2025-08-22 22:12:11,549 - WARNING - Could not geocode Sand Lake, Anchorage Borough, AK
2025-08-22 22:12:12,471 - WARNING - Could not geocode Northeast, Anchorage Borough, AK
2025-08-22 22:12:13,279 - WARNING - Could not geocode Abbott Loop, Anchorage Borough, AK
2025-08-22 22:12:14,308 - WARNING - Could not geocode Spenard, Anchorage Borough, AK
2025-08-22 22:12:16,161 - WARNING - Could not geocode University Area, Anchorage Borough, AK
2025-08-22 22:12:16,450 - WARNING - Could not geocode Huffman-O'Malley, Anchorage Borough, AK
2025-08-22 22:12:17,481 - WARNING - Could not geocode Mountain View, Anchorage Borough, AK
2025-08-22 22:12:18,114 - WARNING - Could not geocode Turnagain, Anchorage Borough, AK
2025-08-22 22:12:19,222 - WARNING - Could not geocode Bayshore-Klatt, Anchorage Borough, AK
2025-08-22 22:12:20,478 - WARNING - Could not geocode Scenic Foothills, Anchorage Borough, AK
2025-08-22 22:12:22,141 - WARNING - Could not geocode Campbell Park, Anchorage Borough, AK
2025-08-22 22:12:22,922 - WARNING - Could not geocode Airport Heights, Anchorage Borough, AK
2025-08-22 22:12:23,483 - WARNING - Could not geocode Rabbit Creek, Anchorage Borough, AK
2025-08-22 22:12:25,349 - WARNING - Could not geocode Old Seward-Oceanview, Anchorage Borough, AK
2025-08-22 22:12:26,614 - WARNING - Could not geocode Mid-Hillside, Anchorage Borough, AK
2025-08-22 22:12:26,764 - WARNING - Could not geocode Fairview, Anchorage Borough, AK
2025-08-22 22:12:27,637 - WARNING - Could not geocode Rogers Park, Anchorage Borough, AK
2025-08-22 22:12:28,290 - WARNING - Could not geocode South Addition, Anchorage Borough, AK
2025-08-22 22:12:29,456 - WARNING - Could not geocode Midtown, Anchorage Borough, AK
2025-08-22 22:12:30,597 - WARNING - Could not geocode North Star, Anchorage Borough, AK
2025-08-22 22:12:31,451 - WARNING - Could not geocode Government Hill, Anchorage Borough, AK
2025-08-22 22:12:32,387 - WARNING - Could not geocode Tudor Area, Anchorage Borough, AK
2025-08-22 22:12:33,350 - WARNING - Could not geocode Downtown, Anchorage Borough, AK
2025-08-22 22:12:34,267 - WARNING - Could not geocode Girdwood, Anchorage Borough, AK
2025-08-22 22:12:35,805 - WARNING - Could not geocode Bear Valley, Anchorage Borough, AK
2025-08-22 22:12:36,320 - WARNING - Could not geocode South Fork, Anchorage Borough, AK
2025-08-22 22:12:37,238 - WARNING - Could not geocode Turnagain Arm, Anchorage Borough, AK
2025-08-22 22:12:38,775 - WARNING - Could not geocode Hillside East, Anchorage Borough, AK
2025-08-22 22:12:39,185 - WARNING - Could not geocode Basher, Anchorage Borough, AK
2025-08-22 22:13:20,381 - INFO - Coordinates cache database initialized
2025-08-22 22:13:32,433 - WARNING - Could not geocode Russian Jack Park, Anchorage Borough, AK
2025-08-22 22:13:33,385 - WARNING - Could not geocode Abbott Loop, Anchorage Borough, AK
2025-08-22 22:13:34,686 - WARNING - Could not geocode Sand Lake, Anchorage Borough, AK
2025-08-22 22:13:35,303 - WARNING - Could not geocode Taku-Campbell, Anchorage Borough, AK
2025-08-22 22:13:36,450 - WARNING - Could not geocode Northeast, Anchorage Borough, AK
2025-08-22 22:13:37,348 - WARNING - Could not geocode Spenard, Anchorage Borough, AK
2025-08-22 22:13:38,578 - WARNING - Could not geocode University Area, Anchorage Borough, AK
2025-08-22 22:13:39,399 - WARNING - Could not geocode Huffman-O'Malley, Anchorage Borough, AK
2025-08-22 22:13:40,419 - WARNING - Could not geocode Mountain View, Anchorage Borough, AK
2025-08-22 22:13:41,345 - WARNING - Could not geocode Turnagain, Anchorage Borough, AK
2025-08-22 22:13:42,263 - WARNING - Could not geocode Bayshore-Klatt, Anchorage Borough, AK
2025-08-22 22:13:43,595 - WARNING - Could not geocode Scenic Foothills, Anchorage Borough, AK
2025-08-22 22:13:44,926 - WARNING - Could not geocode Campbell Park, Anchorage Borough, AK
2025-08-22 22:13:45,488 - WARNING - Could not geocode Airport Heights, Anchorage Borough, AK
2025-08-22 22:13:46,371 - WARNING - Could not geocode Rabbit Creek, Anchorage Borough, AK
2025-08-22 22:13:47,392 - WARNING - Could not geocode Old Seward-Oceanview, Anchorage Borough, AK
2025-08-22 22:13:48,617 - WARNING - Could not geocode Fairview, Anchorage Borough, AK
2025-08-22 22:13:49,778 - WARNING - Could not geocode Mid-Hillside, Anchorage Borough, AK
2025-08-22 22:13:50,668 - WARNING - Could not geocode Rogers Park, Anchorage Borough, AK
2025-08-22 22:13:51,448 - WARNING - Could not geocode South Addition, Anchorage Borough, AK
2025-08-22 22:13:52,301 - WARNING - Could not geocode Midtown, Anchorage Borough, AK
2025-08-22 22:13:53,632 - WARNING - Could not geocode North Star, Anchorage Borough, AK
2025-08-22 22:13:54,655 - WARNING - Could not geocode Government Hill, Anchorage Borough, AK
2025-08-22 22:13:55,371 - WARNING - Could not geocode Tudor Area, Anchorage Borough, AK
2025-08-22 22:13:56,395 - WARNING - Could not geocode Downtown, Anchorage Borough, AK
2025-08-22 22:13:57,317 - WARNING - Could not geocode Girdwood, Anchorage Borough, AK
2025-08-22 22:13:59,058 - WARNING - Could not geocode Bear Valley, Anchorage Borough, AK
2025-08-22 22:13:59,477 - WARNING - Could not geocode South Fork, Anchorage Borough, AK
2025-08-22 22:14:00,190 - WARNING - Could not geocode Turnagain Arm, Anchorage Borough, AK
2025-08-22 22:14:01,495 - WARNING - Could not geocode Hillside East, Anchorage Borough, AK
2025-08-22 22:14:02,234 - WARNING - Could not geocode Basher, Anchorage Borough, AK
2025-08-22 22:14:05,716 - WARNING - Could not geocode Bjerremark, Fairbanks North Star Borough, AK
2025-08-22 22:14:09,296 - WARNING - Could not geocode Douglas, Juneau Borough, AK
2025-08-22 22:14:12,694 - WARNING - Could not geocode Tanaina, Matanuska Susitna Borough, AK
2025-08-22 22:14:14,110 - WARNING - Could not geocode North Lakes, Matanuska Susitna Borough, AK
2025-08-22 22:14:14,726 - WARNING - Could not geocode Knik-Fairview, Matanuska Susitna Borough, AK
2025-08-22 22:14:24,061 - WARNING - Could not geocode Pine Street/Stough, Houston County, AL
2025-08-22 22:14:25,477 - WARNING - Could not geocode East Highlands, Houston County, AL
2025-08-22 22:14:37,972 - WARNING - Could not geocode Echo Highlands, Jefferson County, AL
2025-08-22 22:14:43,965 - WARNING - Could not geocode Arlington-West End, Jefferson County, AL
2025-08-22 22:14:47,343 - WARNING - Could not geocode West End Manor, Jefferson County, AL
2025-08-22 22:14:48,928 - WARNING - Could not geocode Crestwood South, Jefferson County, AL
2025-08-22 22:14:53,849 - WARNING - Could not geocode Smithfield Estates, Jefferson County, AL
2025-08-22 22:14:56,718 - WARNING - Could not geocode South Titusville, Jefferson County, AL
2025-08-22 22:15:00,861 - WARNING - Could not geocode Oakwood Place, Jefferson County, AL
2025-08-22 22:15:04,799 - WARNING - Could not geocode Crestwood North, Jefferson County, AL
2025-08-22 22:15:12,889 - WARNING - Could not geocode Central Pratt, Jefferson County, AL
2025-08-22 22:15:16,655 - WARNING - Could not geocode Druid Hills, Jefferson County, AL
2025-08-22 22:15:20,886 - WARNING - Could not geocode Germania Park, Jefferson County, AL
2025-08-22 22:15:21,662 - WARNING - Could not geocode North Titusville, Jefferson County, AL
2025-08-22 22:15:23,948 - WARNING - Could not geocode East Avondale, Jefferson County, AL
2025-08-22 22:15:32,960 - WARNING - Could not geocode Acipco-Finley, Jefferson County, AL
2025-08-22 22:15:34,803 - WARNING - Could not geocode East Brownville, Jefferson County, AL
2025-08-22 22:15:36,031 - WARNING - Could not geocode Rising-West Princeton, Jefferson County, AL
2025-08-22 22:15:41,053 - WARNING - Could not geocode Penfield Park, Jefferson County, AL
2025-08-22 22:15:42,789 - WARNING - Could not geocode Brownsville Heights, Jefferson County, AL
2025-08-22 22:15:51,841 - WARNING - Could not geocode Indian Creek Cove, Madison County, AL
2025-08-22 22:15:52,431 - WARNING - Could not geocode Lily Flagg Acres, Madison County, AL
2025-08-22 22:15:56,551 - WARNING - Could not geocode Springhill Farm, Madison County, AL
2025-08-22 22:16:08,541 - WARNING - Could not geocode Chase Shadow, Madison County, AL
2025-08-22 22:16:12,830 - WARNING - Could not geocode Holiday Homes, Madison County, AL
2025-08-22 22:16:15,404 - WARNING - Could not geocode Ashtynn Manor, Madison County, AL
2025-08-22 22:16:25,343 - WARNING - Could not geocode East Mastin Lake, Madison County, AL
2025-08-22 22:16:32,381 - WARNING - Could not geocode Newson Fairview, Madison County, AL
2025-08-22 22:16:35,852 - WARNING - Could not geocode Bon Air Estates, Madison County, AL
2025-08-22 22:16:37,471 - WARNING - Could not geocode Thornton Acres, Madison County, AL
2025-08-22 22:16:39,393 - WARNING - Could not geocode Woodridge South, Madison County, AL
2025-08-22 22:16:43,443 - WARNING - Could not geocode Marymont Gardens, Madison County, AL
2025-08-22 22:16:44,641 - WARNING - Could not geocode Riverside Landing, Madison County, AL
2025-08-22 22:16:45,915 - WARNING - Could not geocode Bishop Farms, Madison County, AL
2025-08-22 22:16:51,135 - WARNING - Could not geocode Willow Park Estates, Madison County, AL
2025-08-22 22:16:56,377 - WARNING - Could not geocode Monrovia Junction, Madison County, AL
2025-08-22 22:17:01,677 - WARNING - Could not geocode Kirkwood Heights, Madison County, AL
2025-08-22 22:17:02,193 - WARNING - Could not geocode Darylewood, Madison County, AL
2025-08-22 22:17:05,510 - WARNING - Could not geocode Maxwell Place, Madison County, AL
2025-08-22 22:17:07,340 - WARNING - Could not geocode Brookes Landing, Madison County, AL
2025-08-22 22:17:07,394 - WARNING - Could not geocode Sunrise Valley, Madison County, AL
2025-08-22 22:17:10,744 - WARNING - Could not geocode Berkleigh, Mobile County, AL
2025-08-22 22:17:16,733 - WARNING - Could not geocode Parkhill, Mobile County, AL
2025-08-22 22:17:29,806 - WARNING - Could not geocode Westmont, Mobile County, AL
2025-08-22 22:17:32,763 - WARNING - Could not geocode Westhill, Mobile County, AL
2025-08-22 22:17:33,616 - WARNING - Could not geocode Reichlieu, Mobile County, AL
2025-08-22 22:17:37,930 - WARNING - Could not geocode Claremont, Mobile County, AL
2025-08-22 22:18:16,626 - WARNING - Could not geocode Kimberline, Mobile County, AL
2025-08-22 22:18:17,702 - WARNING - Could not geocode Bellmont, Mobile County, AL
2025-08-22 22:18:24,030 - WARNING - Could not geocode Di Grado, Mobile County, AL
