Address,Latitude,Longitude,Neighborhood,Created_At,Property_Type,Style,Year_Built,Square_Footage,Bedrooms,Bathrooms,Lot_Size,Price,Property_Tax,HOA_Fees,Parking_Spaces,Heating,Cooling,Appliances,Features,School_District,Walk_Score,Transit_Score,Last_Sold_Date,Last_Sold_Price,Estimated_Monthly_Payment
"7401, Mission Street, Mission, San Francisco, CA 94102",37.744105,-122.401906,Mission,2025-08-31,Single Family Home,Victorian,1901,2318,2,1,6166,1627568,20344,0,2,Forced Air,Window Unit,"Garbage Disposal, Dryer, Dishwasher","Landscaped backyard, Close to parks, Tile floors, Modern kitchen",Charter Schools,88,85,2020-10-23,1139558,3078
"2373, Dolores Street, Mission, San Francisco, CA 94102",37.754786,-122.41138,Mission,2025-08-31,Single Family Home,Victorian,1896,2358,3,3,6962,1575759,19696,0,2,Central Heating,Window Unit,"Microwave, Oven, Refrigerator, Washer, Dryer","Landscaped backyard, Laminate floors, Built-in storage",Charter Schools,93,87,2024-07-02,1121642,2979
"3547, Sanchez Street, Mission, San Francisco, CA 94102",37.75658,-122.40777,Mission,2025-08-31,Single Family Home,Victorian,1903,2432,3,3,6874,1911295,23891,616,1,Wall Unit,None,"Dryer, Refrigerator, Microwave","Carpet floors, Built-in storage, Updated kitchen, Close to shopping, Landscaped backyard",Charter Schools,94,81,2023-04-16,1698266,3614
"433, Guerrero Street, Mission, San Francisco, CA 94102",37.752819,-122.417021,Mission,2025-08-31,Single Family Home,Victorian,1896,2080,2,1,6988,1700312,21253,0,0,Baseboard,Central Air,"Dishwasher, Garbage Disposal, Washer, Microwave","Fireplace, Modern kitchen, Spacious backyard, Carpet floors, Close to public transportation",San Francisco Archdiocese,87,81,2023-01-07,1277731,3215
"7612, Guerrero Street, Mission, San Francisco, CA 94102",37.758534,-122.419867,Mission,2025-08-31,Single Family Home,Victorian,1898,2214,2,3,5559,1660106,20751,0,1,Wall Unit,Central Air,"Oven, Garbage Disposal, Dryer","Spacious backyard, Close to parks, Carpet floors",Private Schools,92,83,2023-07-28,1277105,3139
"6314, Guerrero Street, Mission, San Francisco, CA 94102",37.74921,-122.407046,Mission,2025-08-31,Single Family Home,Victorian,1898,1814,3,3,4484,1469876,18373,0,0,Central Heating,Evaporative,"Microwave, Refrigerator, Washer, Oven, Garbage Disposal","Built-in storage, Spacious backyard, Concrete floors, Updated kitchen, Close to restaurants",San Francisco Archdiocese,85,89,2022-08-23,1193716,2779
"7151, Sanchez Street, Mission, San Francisco, CA 94102",37.752684,-122.414896,Mission,2025-08-31,Single Family Home,Victorian,1893,2556,4,3,5843,1961869,24523,746,1,Wall Unit,Central Air,"Dishwasher, Garbage Disposal, Dryer, Oven, Microwave","Renovated kitchen, Spacious backyard, Built-in storage",Charter Schools,93,85,2021-09-07,1661814,3710
"5870, Sanchez Street, Mission, San Francisco, CA 94102",37.75417,-122.402453,Mission,2025-08-31,Single Family Home,Victorian,1903,1841,2,3,4940,1658789,20734,0,0,Radiant,Central Air,"Microwave, Refrigerator, Dishwasher, Washer","Updated kitchen, Hardwood floors, Built-in storage, Close to public transportation",San Francisco Unified School District,88,86,2022-05-04,1483586,3136
"4260, Valencia Street, Mission, San Francisco, CA 94102",37.753033,-122.402951,Mission,2025-08-31,Single Family Home,Victorian,1900,2171,4,3,6865,1880150,23501,0,0,Central Heating,Central Air,"Washer, Refrigerator, Microwave, Dishwasher, Dryer, Oven","Laminate floors, Renovated kitchen, High ceilings, Landscaped backyard, Close to parks",San Francisco Archdiocese,91,80,2021-09-24,1502801,3555
"9386, Dolores Street, Mission, San Francisco, CA 94102",37.75857,-122.405183,Mission,2025-08-31,Single Family Home,Victorian,1894,2193,3,3,5650,1980483,24756,0,2,Baseboard,Central Air,"Dishwasher, Dryer, Garbage Disposal, Refrigerator, Washer","Concrete floors, Close to restaurants, Updated kitchen, Private backyard",San Francisco Unified School District,87,83,2021-12-17,1670279,3746
