Address,Latitude,Longitude,Neighborhood,Created_At,Property_Type,Style,Year_Built,Square_Footage,Bedrooms,Bathrooms,Lot_Size,Price,Property_Tax,HOA_Fees,Parking_Spaces,Heating,Cooling,Appliances,Features,School_District,Walk_Score,Transit_Score,Last_Sold_Date,Last_Sold_Price,Estimated_Monthly_Payment
"780, Potrero Avenue, Mission District, San Francisco, California, 90103, United States",37.759622,-122.40727,Mission,,,,,,,,,,,,,,,,,,,,,,
"1375, Kansas Street, Potrero Terrace, San Francisco, California, 90103, United States",37.752231,-122.402522,Mission,,,,,,,,,,,,,,,,,,,,,,
"1108;1110, York Street, Mission District, San Francisco, California, 90110, United States",37.75402,-122.408457,Mission,,,,,,,,,,,,,,,,,,,,,,
"3021;3023, 20th Street, Mission District, San Francisco, California, 90110, United States",37.759071,-122.411259,Mission,,,,,,,,,,,,,,,,,,,,,,
"The Hairball, Peralta Avenue, Bernal Heights, Mission District, San Francisco, California, 94124, United States",37.751319,-122.403562,Mission,,,,,,,,,,,,,,,,,,,,,,
"401, Precita Avenue, Bernal Heights, Mission District, San Francisco, California, 90110, United States",37.747296,-122.411601,Mission,,,,,,,,,,,,,,,,,,,,,,
"806;808, Kansas Street, Potrero Terrace, Mission District, San Francisco, California, 90103, United States",37.759489,-122.403469,Mission,,,,,,,,,,,,,,,,,,,,,,
"Buena Vista Horace Mann, 3351, 23rd Street, Mission District, San Francisco, California, 94110, United States",37.753572,-122.419813,Mission,,,,,,,,,,,,,,,,,,,,,,
"2970;2972, 21st Street, Mission District, San Francisco, California, 90110, United States",37.757732,-122.414012,Mission,,,,,,,,,,,,,,,,,,,,,,
"1019, Hampshire Street, Mission District, San Francisco, California, 90110, United States",37.755739,-122.407358,Mission,,,,,,,,,,,,,,,,,,,,,,
"Pier 3 promenade, Financial District, San Francisco, California, 94111, United States",37.799083,-122.392688,Financial District,,,,,,,,,,,,,,,,,,,,,,
"65, Chatham Place, Chinatown, South of Market, San Francisco, California, 94108, United States",37.790738,-122.406394,Financial District,,,,,,,,,,,,,,,,,,,,,,
"Ferry Building Gate B, The Nave, Financial District, San Francisco, California, 94111, United States",37.797115,-122.393149,Financial District,,,,,,,,,,,,,,,,,,,,,,
"Pier 3, Herb Caen Way..., Telegraph Hill, San Francisco, California, 94111, United States",37.799047,-122.393457,Financial District,,,,,,,,,,,,,,,,,,,,,,
