Address,Latitude,Longitude,Neighborhood,Created_At,Property_Type,Style,Year_Built,Square_Footage,Bedrooms,Bathrooms,Lot_Size,Price,Property_Tax,HOA_Fees,Parking_Spaces,Heating,Cooling,Appliances,Features,School_District,Walk_Score,Transit_Score,Last_Sold_Date,Last_Sold_Price,Estimated_Monthly_Payment
12440 Alderglen St Moorpark CA 93021,34.267594,-118.8745,Creekside,2025-01-15,Single Family Residential,2-story,1989,2518,5,3,5967,1075000,13330,130,2,Central,Central Air,"Cafe Brand appliances,Refrigerator,Dishwasher,Oven,Washer,Dryer","Gated walkway entry,Soaring ceilings,Brick fireplace,In-ground spa,Spacious paver patio,Lush landscaping,Master suite with sitting area",Moorpark Unified School District,35,20,2023-10-04,959000,7000
123 Main St San Francisco CA 94102,37.7749,-122.4194,Financial District,2025-01-15,Single Family Home,Victorian,1890,2500,3,2.5,3000,2500000,31250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Hardwood floors,Fireplace,Updated kitchen,Backyard",San Francisco Unified,95,90,2023-06-15,2200000,12500
456 Market St San Francisco CA 94105,37.7849,-122.4094,South of Market,2025-01-15,Condo,Modern,2015,1200,2,2,0,1800000,22500,800,1,Forced Air,Central Air,"Refrigerator,Dishwasher,Oven,Microwave","Granite counters,Floor-to-ceiling windows,Concierge",San Francisco Unified,88,85,2022-11-20,1650000,9800
789 Mission St San Francisco CA 94103,37.7649,-122.4094,Mission,2025-01-15,Single Family Home,Edwardian,1910,1800,3,2,2500,1400000,17500,0,1,Central Heating,None,"Refrigerator,Dishwasher,Oven","Original details,Fireplace,Backyard",San Francisco Unified,92,88,2021-08-10,1200000,7500
321 Castro St San Francisco CA 94114,37.7549,-122.4394,Castro,2025-01-15,Single Family Home,Victorian,1920,2000,3,2,2800,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Period details,Fireplace,Updated kitchen,Garden",San Francisco Unified,89,82,2022-03-15,1400000,8500
654 Haight St San Francisco CA 94117,37.7699,-122.4494,Haight-Ashbury,2025-01-15,Single Family Home,Victorian,1895,2200,4,2.5,3200,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original woodwork,Fireplace,Updated kitchen,Backyard",San Francisco Unified,91,85,2021-12-01,1650000,10000
987 Pacific Ave San Francisco CA 94133,37.7999,-122.4094,North Beach,2025-01-15,Single Family Home,Italianate,1915,2400,3,2.5,3000,2100000,26250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Deck",San Francisco Unified,87,80,2022-09-30,1800000,11000
147 Marina Blvd San Francisco CA 94123,37.8099,-122.4394,Marina,2025-01-15,Single Family Home,Mediterranean,1925,2800,4,3,3500,2800000,35000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Bay views,Fireplace,Updated kitchen,Backyard",San Francisco Unified,85,78,2021-05-20,2400000,14000
258 Fillmore St San Francisco CA 94117,37.7699,-122.4294,Pacific Heights,2025-01-15,Single Family Home,Classic,1900,3200,4,3.5,4000,3500000,43750,0,3,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Backyard",San Francisco Unified,88,82,2020-11-15,3000000,17500
369 Noe St San Francisco CA 94114,37.7549,-122.4294,Noe Valley,2025-01-15,Single Family Home,Victorian,1890,2600,3,2.5,3200,2200000,27500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Garden",San Francisco Unified,90,84,2022-01-10,1900000,11500
741 Dolores St San Francisco CA 94110,37.7449,-122.4194,Mission Dolores,2025-01-15,Single Family Home,Victorian,1885,2000,3,2,2800,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Period details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,93,87,2021-07-20,1550000,9500
1234 Valencia St San Francisco CA 94110,37.7499,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,3000,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,92,88,2022-05-15,1500000,9000
